Frequency,Radial velocity,Data
1417905752.0,-535.2070659499399,-77.96110737825805
1417910639.5855327,-534.1754865730895,-78.07506598570365
1417915527.1710656,-533.1439071961887,-77.73764863846219
1417920414.7565982,-532.1123278193382,-77.85955776341436
1417925302.342131,-531.0807484424878,-77.53278105632559
1417930189.9276638,-530.0491690655871,-77.92652116938478
1417935077.5131965,-529.0175896887366,-77.89224341546755
1417939965.0987291,-527.9860103118862,-77.7066894132509
1417944852.684262,-526.9544309349853,-77.84244375945728
1417949740.2697947,-525.9228515581349,-77.77281395550482
1417954627.8553274,-524.8912721812844,-77.93876516473871
1417959515.4408603,-523.8596928043837,-77.87713510661095
1417964403.026393,-522.8281134275333,-77.90091979365177
1417969290.6119256,-521.7965340506828,-77.81434068252265
1417974178.1974585,-520.764954673782,-77.665563394181
1417979065.7829912,-519.7333752969316,-77.68457078445486
1417983953.3685238,-518.701795920081,-78.02248380973589
1417988840.9540567,-517.6702165431803,-77.85832219211845
1417993728.5395894,-516.6386371663299,-77.78191098196744
1417998616.1251223,-515.6070577894291,-77.65491361440739
1418003503.710655,-514.5754784125786,-77.68768270650223
1418008391.2961876,-513.5438990357283,-77.71699026159034
1418013278.8817205,-512.5123196588274,-77.61145175335231
1418018166.4672532,-511.4807402819769,-77.58995026696266
1418023054.0527859,-510.44916090512646,-77.94898894689105
1418027941.6383188,-509.41758152822575,-77.798733424769
1418032829.2238514,-508.3860021513753,-77.71026963713625
1418037716.809384,-507.3544227745248,-77.7417753900243
1418042604.394917,-506.32284339762407,-77.77181370911796
1418047491.9804497,-505.2912640207736,-78.03279322163034
1418052379.5659823,-504.25968464392315,-77.90873560182285
1418057267.1515152,-503.22810526702233,-77.8947524780941
1418062154.737048,-502.1965258901719,-77.79417467258703
1418067042.3225806,-501.16494651332147,-77.85434030399519
1418071929.9081135,-500.1333671364207,-77.81774832024006
1418076817.4936461,-499.1017877595703,-77.58613858884263
1418081705.0791788,-498.0702083827198,-77.72625718025753
1418086592.6647117,-497.038629005819,-77.60030392233283
1418091480.2502444,-496.0070496289686,-77.38545332168557
1418096367.835777,-494.97547025211816,-77.28702276516356
1418101255.42131,-493.94389087521733,-77.67394680023743
1418106143.0068426,-492.9123114983669,-77.46337672356843
1418111030.5923753,-491.8807321215165,-77.84007336426693
1418115918.1779082,-490.8491527446157,-77.64692798162972
1418120805.7634408,-489.8175733677652,-77.52831232009625
1418125693.3489735,-488.7859939909148,-77.605228583402
1418130580.9345064,-487.754414614014,-77.55838135080927
1418135468.520039,-486.72283523716357,-77.46554010565328
1418140356.1055717,-485.69125586031316,-77.58046797815393
1418145243.6911047,-484.65967648341234,-77.61562356635284
1418150131.2766373,-483.6280971065619,-77.64797062604522
1418155018.86217,-482.5965177297114,-77.71422979071798
1418159906.447703,-481.5649383528107,-77.80257312018995
1418164794.0332355,-480.5333589759602,-77.73774354031437
1418169681.6187682,-479.50177959910974,-77.43347670563669
1418174569.204301,-478.47020022220903,-77.60473313953631
1418179456.7898338,-477.43862084535857,-77.55338261435844
1418184344.3753667,-476.40704146845775,-77.46331256696013
1418189231.9608994,-475.3754620916073,-77.48795768872186
1418194119.546432,-474.3438827147569,-77.51279472219466
1418199007.131965,-473.3123033378561,-77.42869733870437
1418203894.7174976,-472.28072396100566,-77.29559401578685
1418208782.3030303,-471.2491445841552,-77.16363539394536
1418213669.8885632,-470.21756520725444,-77.397212896054
1418218557.4740958,-469.185985830404,-77.28639554565865
1418223445.0596285,-468.1544064535536,-77.35241851207859
1418228332.6451614,-467.12282707665275,-77.50772250276985
1418233220.230694,-466.0912476998023,-77.37842979816291
1418238107.8162267,-465.0596683229519,-77.30002023079135
1418242995.4017596,-464.0280889460511,-77.58851732603813
1418247882.9872923,-462.9965095692006,-77.31718030713233
1418252770.572825,-461.96493019235015,-77.30358753354781
1418257658.1583579,-460.93335081544944,-77.43680263111256
1418262545.7438905,-459.901771438599,-77.37205516983175
1418267433.3294232,-458.8701920617485,-77.33258143153684
1418272320.914956,-457.83861268484776,-77.06439766782832
1418277208.5004888,-456.8070333079973,-77.23809878307817
1418282096.0860214,-455.77545393114684,-77.12833008295601
1418286983.6715543,-454.7438745542461,-77.22887958199311
1418291871.257087,-453.7122951773956,-77.31431252869301
1418296758.8426197,-452.68071580054516,-76.94073209143798
1418301646.4281526,-451.6491364236444,-76.98516562934778
1418306534.0136852,-450.617557046794,-77.03219790906152
1418311421.599218,-449.58597766994353,-77.09670549774651
1418316309.1847508,-448.5543982930427,-77.08135866532692
1418321196.7702835,-447.5228189161923,-76.99104899921304
1418326084.3558161,-446.49123953934185,-77.28871344455057
1418330971.941349,-445.4596601624411,-77.24438507758232
1418335859.5268817,-444.42808078559057,-77.23164609552458
1418340747.1124144,-443.39650140874016,-76.90575179813243
1418345634.6979473,-442.3649220318394,-77.19254258342328
1418350522.28348,-441.33334265498894,-77.04364565836292
