Frequency,Radial velocity,Data
1418458049.1652005,-424.87480253479833,-53.368882088400966
1418462936.7507331,-423.8432231579478,-51.66733046036064
1418467824.3362658,-422.8116437810974,-54.40681716721834
1418472711.9217987,-421.78006440419665,-54.228613304018616
1418477599.5073314,-420.7484850273462,-55.4263798464883
1418482487.092864,-419.7169056504957,-52.527564804292865
1418487374.678397,-418.68532627359497,-54.691416606379775
1418492262.2639296,-417.6537468967445,-52.720825089767665
1418497149.8494623,-416.62216751989405,-52.45239080619907
1418502037.4349952,-415.59058814299334,-53.60669761126458
1418506925.0205278,-414.5590087661428,-51.828463817856175
1418511812.6060605,-413.52742938929237,-53.51447840651563
1418516700.1915934,-412.4958500123916,-50.94496763591921
1418521587.777126,-411.4642706355412,-52.98625432079952
1418526475.3626587,-410.4326912586907,-52.18173566817289
1418531362.9481916,-409.4011118817899,-53.040766880799524
1418536250.5337243,-408.3695325049395,-51.399891556106
1418541138.119257,-407.33795312808905,-53.44217150084886
1418546025.7047899,-406.30637375118823,-50.44549097436609
1418550913.2903225,-405.27479437433783,-55.308283944022065
1418555800.8758554,-404.24321499743706,-52.39854755224595
1418560688.461388,-403.2116356205866,-57.50253383375278
1418565576.0469208,-402.1800562437361,-54.01580753428726
1418570463.6324537,-401.1484768668354,-53.490333643645315
1418575351.2179863,-400.1168974899849,-52.80094609775
1418580238.803519,-399.08531811313446,-50.43997212170104
1418585126.389052,-398.05373873623375,-54.43967060695337
1418590013.9745846,-397.02215935938324,-49.51283064929019
1418594901.5601172,-395.9905799825328,-52.78804980919931
1418599789.1456501,-394.959000605632,-55.25409823014976
1418604676.7311828,-393.9274212287816,-57.28498903509535
1418609564.3167155,-392.8958418519311,-52.82630226636332
1418614451.9022484,-391.86426247503033,-54.63807211370423
1418619339.487781,-390.8326830981799,-52.266002200322426
1418624227.0733137,-389.80110372132947,-55.27582952499828
1418629114.6588466,-388.76952434442865,-54.680791604761964
1418634002.2443793,-387.73794496757824,-54.9778177279794
1418638889.829912,-386.7063655907278,-53.069726763119874
1418643777.4154449,-385.674786213827,-53.951660728674334
1418648665.0009775,-384.6432068369765,-54.45443069681729
1418653552.5865102,-383.6116274601261,-52.61351196824826
1418658440.172043,-382.58004808322534,-53.057306771146536
1418663327.7575758,-381.5484687063749,-51.96339176809906
1418668215.3431084,-380.5168893295245,-52.23178216485317
1418673102.9286413,-379.48530995262365,-53.410965824761085
1418677990.514174,-378.4537305757732,-51.527282746754594
1418682878.0997066,-377.4221511989228,-55.35940055161778
1418687765.6852396,-376.390571822022,-52.90920296424061
1418692653.2707722,-375.3589924451715,-52.90375614625245
1418697540.856305,-374.3274130683211,-54.30887984719693
1418702428.4418378,-373.29583369142034,-55.253244800172084
1418707316.0273705,-372.2642543145699,-53.2834613396733
1418712203.612903,-371.2326749377194,-52.68556061420148
1418717091.198436,-370.20109556081866,-56.96941161091396
1418721978.7839687,-369.1695161839682,-50.58264911889607
1418726866.3695014,-368.13793680711774,-55.00854850173908
1418731753.9550343,-367.10635743021703,-53.105310319079955
1418736641.540567,-366.0747780533665,-53.55437639613129
1418741529.1260998,-365.04319867646575,-54.83627730078269
1418746416.7116325,-364.0116192996153,-51.74124038172845
1418751304.2971652,-362.9800399227649,-54.23984645222612
1418756191.882698,-361.94846054586407,-53.7899912458633
1418761079.4682307,-360.9168811690136,-54.39234407696322
1418765967.0537634,-359.8853017921632,-52.77365620731566
1418770854.6392963,-358.85372241526244,-51.89232557063789
1418775742.224829,-357.822143038412,-52.70295744210485
1418780629.8103616,-356.7905636615615,-54.589952464669686
1418785517.3958945,-355.75898428466076,-50.182278208070315
1418790404.9814272,-354.7274049078103,-56.03471609285012
