Frequency,Radial velocity,Data
1415405752.0,-1062.8567753026157,-71.80031883490449
1415415527.1710656,-1060.7936165488645,-71.82562002247008
1415425302.342131,-1058.7304577951636,-71.76735016395754
1415435077.5131965,-1056.6672990414124,-71.7641256007695
1415444852.684262,-1054.6041402876613,-71.76230898358037
1415454627.8553274,-1052.5409815339603,-71.75554359800346
1415464403.026393,-1050.4778227802092,-71.79610681386302
1415474178.1974585,-1048.4146640264578,-71.80863013414708
1415483953.3685238,-1046.351505272757,-71.75915411429214
1415493728.5395894,-1044.2883465190057,-71.66021842275403
1415503503.710655,-1042.2251877652545,-71.66435453114727
1415513278.8817205,-1040.1620290115034,-71.71665307342023
1415523054.0527859,-1038.0988702578024,-71.58525095449464
1415532829.2238514,-1036.0357115040513,-71.73165166418133
1415542604.394917,-1033.9725527502999,-71.73338327423193
1415552379.5659823,-1031.9093939965992,-71.79500214320896
1415562154.737048,-1029.8462352428478,-71.67526223927757
1415571929.9081135,-1027.7830764890966,-71.79607313260992
1415581705.0791788,-1025.7199177353957,-71.67847095335806
1415591480.2502444,-1023.6567589816444,-71.82319881050861
1415601255.42131,-1021.5936002278931,-71.81838313576053
1415611030.5923753,-1019.5304414741923,-71.84006257641711
1415620805.7634408,-1017.4672827204411,-71.70020806822788
1415630580.9345064,-1015.4041239666898,-71.84496998826204
1415640356.1055717,-1013.3409652129889,-71.86036230605905
1415650131.2766373,-1011.2778064592377,-71.84907597508585
1415659906.447703,-1009.2146477054865,-71.92121942948565
1415669681.6187682,-1007.1514889517855,-71.90547013712929
1415679456.7898338,-1005.0883301980344,-71.83433774480149
1415689231.9608994,-1003.0251714442832,-71.88318702374704
1415699007.131965,-1000.9620126905319,-71.93544310556912
1415708782.3030303,-998.898853936831,-72.04681117195224
1415718557.4740958,-996.8356951830798,-71.95129331457737
1415728332.6451614,-994.7725364293286,-72.01724289202518
1415738107.8162267,-992.7093776756276,-72.11166533024839
1415747882.9872923,-990.6462189218765,-72.0534750107974
1415757658.1583579,-988.5830601681253,-72.18961755260213
1415767433.3294232,-986.5199014144243,-72.17663398507713
1415777208.5004888,-984.4567426606732,-72.28387987304521
1415786983.6715543,-982.3935839069219,-72.29410341963336
1415796758.8426197,-980.330425153221,-72.24992979364107
1415806534.0136852,-978.2672663994697,-72.31884163134157
1415816309.1847508,-976.2041076457185,-72.290164581938
1415826084.3558161,-974.1409488920176,-72.39071568164445
1415835859.5268817,-972.0777901382663,-72.37981903041023
1415845634.6979473,-970.0146313845153,-72.40292111417153
1415855409.8690126,-967.9514726308144,-72.44177006671974
1415865185.0400782,-965.8883138770631,-72.3799079747427
1415874960.2111437,-963.8251551233119,-72.47626512760536
1415884735.3822093,-961.7619963695606,-72.40680102607519
1415894510.5532746,-959.6988376158597,-72.53351608023459
1415904285.7243402,-957.6356788621084,-72.48325979782139
1415914060.8954058,-955.5725201083574,-72.55254440115101
1415923836.066471,-953.5093613546563,-72.48706707083403
1415933611.2375367,-951.4462026009052,-72.57782736609124
1415943386.4086022,-949.383043847154,-72.57038323316391
1415953161.5796676,-947.3198850934531,-72.54047149130153
1415962936.7507331,-945.2567263397018,-72.44204557930631
1415972711.9217987,-943.1935675859505,-72.53919819264672
1415982487.092864,-941.1304088322497,-72.69962484185739
1415992262.2639296,-939.0672500784984,-72.41590345761688
1416002037.4349952,-937.0040913247473,-72.38141439796546
1416011812.6060605,-934.9409325710463,-72.13033454152315
1416021587.777126,-932.8777738172952,-72.64211881095076
1416031362.9481916,-930.8146150635439,-72.68029928380696
1416041138.119257,-928.7514563098431,-72.72661093339279
1416050913.2903225,-926.6882975560918,-72.43214424680461
1416060688.461388,-924.6251388023405,-72.6839611223856
1416070463.6324537,-922.5619800485892,-72.69736056252643
1416080238.803519,-920.4988212948884,-72.58113707071855
1416090013.9745846,-918.4356625411372,-72.68366874849634
1416099789.1456501,-916.372503787386,-72.64139501447033
1416109564.3167155,-914.3093450336852,-72.93917328749545
1416119339.487781,-912.2461862799339,-72.81584648673221
1416129114.6588466,-910.1830275261826,-72.74956344820717
1416138889.829912,-908.1198687724818,-72.69291134407423
1416148665.0009775,-906.0567100187305,-72.86155260085557
1416158440.172043,-903.9935512649793,-72.69083747612103
1416168215.3431084,-901.9303925112783,-72.62983484536501
1416177990.514174,-899.8672337575272,-72.75161420248382
1416187765.6852396,-897.804075003776,-72.8621737498404
1416197540.856305,-895.740916250075,-72.89182329201327
1416207316.0273705,-893.6777574963239,-72.83877764857027
1416217091.198436,-891.6145987425726,-72.9025131095496
1416226866.3695014,-889.5514399888717,-72.8404661231066
1416236641.540567,-887.4882812351206,-72.81123722620978
1416246416.7116325,-885.4251224813693,-72.96387961689237
1416256191.882698,-883.3619637276181,-72.89596538109014
1416265967.0537634,-881.2988049739171,-72.93105805018767
1416275742.224829,-879.235646220166,-72.94400649387207
1416285517.3958945,-877.1724874664147,-72.85544585805522
1416295292.5669599,-875.1093287127138,-72.94054768540627
1416305067.7380254,-873.0461699589627,-72.98115207880487
1416314842.909091,-870.9830112052114,-73.00631507813475
1416324618.0801563,-868.9198524515105,-72.96628656966857
1416334393.251222,-866.8566936977593,-72.7445258638478
1416344168.4222875,-864.7935349440081,-73.01720901121149
1416353943.5933528,-862.7303761903071,-72.98645342002142
